titulo,clip,n_frames,texto
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0129,100,empieza a ser ruidos y hace amigos les juro por mi mama
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0130,75,por mi mama que el ruido del ronquido era este
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0131,75,estaba asi y se dormia con esta cara
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0132,100,amigos se lo juro no estoy exagerandolo en nada nada
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0133,125,entonces yo lo miro a juancito y digo amigo bueno no avisaste de esto
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0134,100,entonces dice si ya se va a haber problemas obvio que va a haber problemas
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0135,75,y digo luciano duerme con esto yo no duermo con esto amigo
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0136,75,me dice y vas a que bueno mira despues lo hablamos
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0137,100,pero no arranque mi viaje asi amigo recien vamos no se 700 kilometros
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0138,75,si vamos 700 kilometros amigo el chavon ya se dormio y no deja dormir al resto
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0139,100,digo vou escucharte como hace esto no es un ser humano es un camion de basura
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0140,75,digo agarra pone la pala del camion de basura cuando esta compactando basura
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0141,100,es mas inesuoso que esto y el chavon a ese parecia que se moria amigos
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0142,175,asi ha y voy a decir se va a morir que pase algo o sea o que se muera
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0143,75,o que se despierte pero que bueno a todo esto
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0144,75,yo ya estaba o sea hasta ahi estaba bien porque yo iba adelante
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0145,100,y todavia no me habia dormido en el tiempo que se habia dormido el
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0147,125,ya estabamos llegando a brasil en un momento se pone a manejar el camion de basura
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0148,175,que decia no yo manejo perfecto soy fangio yo soy ayrton sena
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0149,75,a todo esto todos nos mirabamos porque tenia una pinta de que era todo mentira
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0150,150,cuestiona amigos que tenia un gps de pozos aparecio un pozo en el gps y el chavon a 140 al chincuechento
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0151,100,10 metros entonces en un momento claro juancito que era el dueño del auto a rave decia
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0152,100,boludo te estas comiendo todos los pozos vamos a reventar una cubierta
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0153,125,o sea fijate esquivalo los pozos dice no no si pasa que si esquivaba o el se tenia que agarrar otro
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0154,125,dice amigos estoy viendo la ruta va rompe esto del auto estamos en el medio de la celva te da cuenta que aca no hay nada
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0155,100,bueno juancito ya lo ultimo ibamos todos asi con cara de horto
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0156,100,y hacia pla pla y yo lo miraba a juancito y juancito hacia
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0157,98,y hacia mira lo unico que hacia ya no le decia nada
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0158,75,porque ya el ambiente adentro del auto estaba bastante tenso
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0159,100,a todo esto luciano ya se empezaba a poner ansioso porque san pablo se acercaba
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0160,75,o sea ya ah no no pare antes de eso
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0161,75,en un momento me despierto y se va a cargar combustible
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0162,100,que alla dice en pencina cuando va a cargar combustible frenamos
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0163,75,hola si como te va lleno de premium
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0164,100,no se fai no se fai fai la voce va llenar
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0165,100,y digo amigo en que momento entramos a brasil
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0166,75,entonces me dice esta flallando jero
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0167,100,amigo este chabon hablo en portugues no no estamos en uruguay no estamos en uruguay boludo
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0168,75,esto brasil hablo en brasil este hablo en portugues
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0169,100,es br a ver a ver a ver preguntarle preguntarle aceptas reais
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0170,75,si mais reais eupe su uruguay
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0171,75,entonces yo digo amigo es br te das cuenta
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0172,100,entonces le digo loco donde estamos entonces dice en rivera
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0173,75,esto es partido de rivera no se que mierda me entro a decir
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0174,100,digo pero esto es brasil o es uruguay entonces claro no entendiamos nada
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0175,75,hasta que encontramos una persona que hablaba español
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0176,75,entonces dice no ustedes entraron aca hay una frontera
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0177,100,que es uruguay y brasil y es frontera
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0178,75,entonces hablan en portugues pero este es el lado de brasil
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0179,125,uyy boludo lo dije no pasamos por el no hicimos la entrada al pais
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0180,100,estamos en brasil pero todo entonces me dice no dice y ahora que hacemos
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0181,125,volvemos y entramos por otro lado no ni en pedo estas viendo el gps
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0182,125,bueno lulo a todo esto ya estaba desquiciado decia esto ya me huele mal
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0183,100,ya estamos llegando a san pablo y no estan prestando atencion
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0184,100,y saben que pasa si en san pablo nos equivocamos bueno le digo luciano calmate
