sampleID,spk,titulo,clip_original,n_frames,texto
f01_0047,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0059,200,pero buena pregunta buena pregunta otra persona hoy me mando una pregunta diciendo
f01_0048,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0060,200,che sos ya sos grande tenes 35 años por que no tenes hijos todavia
f01_0049,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0061,75,por que no estas casado por que no tenes novia
f01_0050,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0062,150,creo que voy a hacer otro video respondiendo a esa pregunta y si me sei
f01_0051,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0063,175,si sos fiel a este canal seguramente sabes la respuesta porque lo he contado un par de veces
f01_0052,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0064,100,pero que onda usted se que en argentina en este momento ya es tarde
f01_0053,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0065,200,ya son las 1130 creo o que hora es alla
f01_0054,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0067,50,que hacen despiertos que hacen por ahi
f01_0055,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0068,100,vieron el video que hice sobre el croupis recien
f01_0056,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0069,150,que loco no que loco que son las culturas distintas en paraguay
f01_0057,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0070,125,tienen toda esa mitologia que es super interesante
f01_0058,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0071,175,creo que tiene como un mensaje lindo pero es como una forma distinta de tener ese mensaje
f01_0059,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0072,125,un saludo enorme un beso enorme para todos los que me siguen de este paraguay
f01_0060,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0073,75,los paraguayos son unos genios
f01_0061,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0074,150,creo que ayer o justo
f01_0062,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0075,125,claro ayer en el live cuando estaba hablando de que muchos latinos
f01_0063,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0076,125,cuando encuentran con un argentino en la calle o se presentan con un argentino
f01_0064,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0077,225,ya arrancan con una preconcepcion y al tener esa preconcepcion por ahi le vas a caer mal a esa persona
f01_0065,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0078,125,y no hay que entrar asi lo mismo pasa con los argentinos contra los paraguayos
f01_0066,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0079,100,creo que un argentino va a paraguay y ya tiene una preconcepcion
f01_0067,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0080,150,y al tener eso como que la interaccion la onda y todo no va a ser lo mismo
f01_0068,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0081,175,hay que entrar con una mente abierta y todas las cosas van a fluir y van a salir bien
f01_0069,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0082,175,pero en este momento estoy como muy agachado no sabes como me doy en los pies en este momento
f01_0070,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0083,225,pero queria saludarles un poco mas antes de que me vaya y decirles que los quiero mucho
f01_0071,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0084,200,y que todo esto de subir videos todos los dias me esta resultando super bien
f01_0072,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0085,75,porque puedo estar un rato con ustedes todos los dias
f01_0073,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0086,175,acabo de comprar un tripod d que me va a permitir caminar con ese tripod d
f01_0074,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0087,100,y poder mostrar un poco mas y mostrar mas de la calle
f01_0075,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0088,175,hay un lugar en los angeles que se llama santa monica y tiene como todo un pier
f01_0076,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0089,150,es como tipo un puentecito no se como se llama castellano pero despues les voy a mostrar eso
f01_0077,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0090,125,no se como va a ser el tema del viento pero bueno vamos a ver
f01_0078,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0091,100,bueno un muelle tal cual un muelle
f01_0079,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0092,150,bueno me duele un monton mis pies me tengo que ir tambien me invitaron a una cena aca
f02_0000,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0000,140,holy holy feos feos como estan soy yo
f02_0001,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0001,160,la seriora elfa y hoy en el video de la fecha vamos a hablar de anecdotas de pueblos
f02_0002,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0002,162,ustedes me mandaron sañotas de pueblo a djfararachorra a roballelcom sobre infidelidad cosas de pueblo
f02_0003,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0003,123,pieron lo que pasa en el pueblo que era el pueblo ademas pasan cosas terribles en el pueblo y una que tiene que hacer irse del pueblo
f02_0004,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0004,82,muchas historias tragicas cosas que van a entender los que son de pueblo
f02_0005,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0005,94,yo elegi las mejores anecdotas que le mandaron y ahora voy a reaccionar
f02_0006,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0007,182,mas o menos veos mios vamos con la primera anecdota te escribo porque necesito escupir un veneno que tengo guardado en mi epoca de pueblo
f02_0007,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0008,125,te pido por favor anonimato total porque si esto se filtra me tengo que ir a vivir a la antartida
f02_0008,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0009,80,el tema del pueblo ademas es que siempre todo es un secreto
f02_0009,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0010,78,porque realmente si se filtra cualquier cosa tenes que ir a otro pueblo
f02_0010,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0011,136,contextos soy de un pueblo del interior de la provincia de buenos aires en donde somos aproximadamente 5000 habitantes
f02_0011,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0012,127,yo tenia 15 años y salia con un machote de 19 que trabajaba en la panaderia del pueblo
f02_0012,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0013,95,el piber al tipico rudo alto peleador boliche
f02_0013,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0014,127,obviamente esta mal chicos que tienen 15 y se van con el 19 se entiende estoy leyendo la anecdota como me la mandan pero bueno se entiende
f02_0014,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0015,125,no me voy a empezar a hacer bajada de linea pero bueno si es ilegal ademas que bajada de linea es un delito
f02_0015,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0016,124,pero digo para que no explote el chat pero bueno que creen que haga esta cosa pasa esto paso en el pueblo
f02_0016,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0017,130,viste el piber al tipico rudo alto peleador boliche al que iba boliche en el que armaba quilombo
f02_0017,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0018,132,cuestio aunque el tipo me vivia metiendo los cuernos con la hija del panadero que en ese momento era menor que yo
f02_0018,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0019,95,si un horror todo ademas siento que los pueblos esto lo capaz estoy estirotipando
f02_0019,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0020,192,seguro estoy estirotipando pero siendo que los pueblos vieron que antes en la epoca de nuestros abuelos era como comun que no se volviera a tu abuela
f02_0020,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0021,120,abuelita a que edad conociste al abuelo y te dicen a los 12
f02_0021,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0022,182,y queda tenia al abuelo 20 y ya quedate casaste a los 13
f02_0022,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0023,172,y no se le mueve un pelo viste y te lo cuentan pero piro que en la epoca de nuestros abuelos era medio asi era como re normal
f02_0023,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0024,106,y siento que los pueblos para mi eso quedo como que estar un poquito de bode
f02_0024,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0025,96,nos hallonaron viste no llego todavia que es un delito
f02_0025,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0026,166,no te puedes no o sea no puede pasar eso un 31 de diciembre los encuentro chapando en el boliche con la hija del panadero
f02_0026,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0027,138,mi reaccion fue reirme de los nervios y esconderme en el baño mientras mi amiga me pedia que salgamos
f02_0027,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0028,125,cuando sali el macho me agarro el brazo tan fuerte que me dejo las pulseras marcadas
f02_0028,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0029,80,obviamente ahi se pudrio todo o eso creia yo
f02_0029,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0030,148,lo fuerte viene despues nosotros cuando eramos novios ibamos siempre a la iglesia catolica
f02_0030,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0031,100,el era el chofer del cura le manejaba la camioneta para todos lados
f02_0031,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0032,100,un dia lo veo con ropa y zapatillas de marca la del cocodrilo
f02_0032,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0033,88,vos me entendes si todos entendemos
f02_0033,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0034,88,que no se podia pagar nada y andaba con ropa de primera marca
f02_0034,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0035,138,yo ahi sospeche porque alguien de pueblo es raro verlo con esa ropa cotidianamente
f02_0035,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0036,75,pero no me daba el cerebro para tanto pues manipulador
f02_0036,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0037,88,por ademas claro en el pueblo te miran mucho la ropa
f02_0037,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0038,88,y si viene alguien con ropa de marca o cambio el auto o lo que sea
f02_0038,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0039,116,ya todos se dan cuenta porque todos te conocen la ropa y eso no pasa en la ciudad
f02_0039,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0040,125,y ademas no se siento que en el pueblo hay como eventos tipo la peña
f02_0040,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0041,100,o la misa de los domingos donde todas las mujeres van vestidas bien
f02_0041,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0042,100,los hombres estan bien y tienen ropa para eso
f02_0042,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0043,100,que se las conoces y que si un dia aparece uno con ropa a la coste
f02_0043,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0044,100,años despues en 2019 estoy en la casa de una compañera de la escuela
f02_0044,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0045,100,y salta a la madre y me dice viste que tu ex se garcha al cura
f02_0045,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0046,100,ahi me cerro todo y me daba la ropa con los amigos a cenar
f02_0046,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0047,100,y despues se iban a la iglesia pero no a rezar el rosario martin
f02_0047,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0048,100,y todos lo sabian menos yo imaginate mi cara de estupida
f02_0048,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0049,100,al final el mas rudo termino siendo el mas puto del pueblo te amo
f02_0049,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0050,100,nunca te solte la mano y espero que esta data te este dando años de vida si el hombre de menos que sea el puto del pueblo
f02_0050,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0051,100,es el pedo del pueblo es el todo del pueblo
f02_0051,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0052,100,porque este no era el que tambien estaba con la mina con vos que tenias 15 años y con la que era menor que vos
f02_0052,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0053,100,que no quiero ni preguntar la edad es el pedo del pueblo
f02_0053,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0054,100,bueno es lo de menos plot twist pedo y puto
f02_0054,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0055,100,si es raro porque parecia que la netota iba el paralado del apedo
f02_0055,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0056,100,y al final termino siendo como nos dio un plot twist bueno no nos dio tanto igual
f02_0056,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0057,100,pense que se veia mas picante o sea como se vino picante como los titulares pero no contaste nada nena
f02_0057,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0058,100,ayuno una banda ademas me encanta cuando la gente cuenta netotas
f02_0058,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0059,100,y te pone espero que te haya dado años de vida esta netota vos te leiste
f02_0059,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0060,100,vos leiste lo que escribiste te parece me resto años de vida
f02_0060,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0061,100,porque pintaba bien y no hay nada peor que una negota que pinta bien y termina siendo un fiasco
f02_0061,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0062,100,bueno siguiente anecdota hola farahona como estas
f02_0062,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0063,100,te cuento mi historia pueblerina vivo en un pueblo de 7x4 literal
f02_0063,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0064,100,todo empieza con mi deseo de estar con un famoso que vive muy cerca de mi pueblo
f02_0064,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0065,100,no es famoso solo de familia polista y con mucha plata durante unos años fui acercandome
f02_0065,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0066,100,a su grupo de amigos todos del pueblo obvio una noche del verano pasado estaba aburrida con mi amiga
f02_0066,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0067,100,y me llega el mensaje que tanto esperaba si se me habia dado estar con el que tanto queria
f02_0067,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0068,100,no hay una coma chicos aca eh si se me habia dado estar con el que tanto queria
f02_0068,f02,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0069,100,el concepto si se me habia dado claro porque vos no vales nada
