titulo,clip,n_frames,luma_media,frac_oscuros,movimiento_global,actividad_boca,textura_boca,estado,razones,texto
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0017,119,106.36,0.0,3.018,10.034,24.77,keep,,pum termino el pasaje era ponele nosotros estabamos jugando el mundial no me acuerdo fue en junio ponele
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0018,95,107.39,0.0,2.07,8.427,25.79,keep,,el pasaje era el lunes 22 de octubre
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0019,115,101.8,0.0,2.687,10.804,20.99,keep,,cuando me llega la notificacion de que compre un pasaje boludo compre un pasaje en octubre
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0020,248,107.77,0.0,2.644,8.222,27.47,keep,,todos cagandose de risa sos un pelotudo y luciano hablando luciano me miraba y me decia lulo el de la anecdota me decia oh brasil temporada baja hermoso
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0021,188,105.0,0.0,4.135,13.914,27.23,keep,,vos sos pelotudo luciano y yo lulo luciano le digo hermoso las pelotas boludo acabo de comprar me acabo de meter no se cuantos miles de pesos en el orto boludo
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0022,142,103.57,0.0,3.418,11.283,29.25,keep,,no brasil en temporada baja hermoso vos sos un tarado le digo ahora que mierda hago en el pasaje no me van a devolver la plata
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0023,88,102.44,0.0,4.609,10.317,24.08,keep,,hermoso en temporada baja anda la concha de tu madre luciano y vos sos un tarado
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0024,111,105.32,0.0,3.623,9.121,28.08,keep,,bueno a todo esto todos cagandose de risa de que ya habia gastado 15000 20000 pesos al pedo
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0025,152,105.57,0.0,5.077,13.343,31.86,keep,,ya empece a hacer el reclamo denuncie que la tarjeta la habia perdido que me hicieron el pitching no se que mierda
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0026,145,106.38,0.0,3.991,10.245,26.39,keep,,cagando la puteada a la hermana de amilcar le digo veronica como me vas a mandar un link de un pasaje en octubre cuando te doblan junio
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0027,158,99.99,0.0,3.393,11.256,30.19,keep,,bueno cuestion que claro no terminaba mas todos burlandose bueno tenian razon era un pelotudo
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0028,88,104.14,0.0,2.464,7.853,23.75,keep,,cuestion que agarro y me dice bueno vamos en auto
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0029,192,103.62,0.0,3.524,9.049,22.58,keep,,yo tenia el goltren amigo le digo yo esta todo bien pero en el goltren no llegamos ni a palo o sea y re incomodo
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0030,143,104.1,0.0,3.136,6.953,23.04,keep,,hacemos 10 horas de viaje y tenemos que operar de la columna a la mitad del auto
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0031,155,103.37,0.0,3.441,7.538,24.5,keep,,o sea no podemos ir a rio de janeiro en un goltren bueno dice discutiendo en cual vamos bueno a ver quien se sube
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0032,80,103.3,0.0,2.968,7.651,22.04,keep,,eramos amilcar luciano juancito y yo
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0033,138,105.78,0.0,2.857,7.488,24.13,keep,,vamos cuatro bueno listo vamos cuatro faltando un dia se baja amilcar
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0034,113,106.07,0.0,3.769,8.764,27.72,keep,,no que no se digo mira amilcar yo ya me pedi el dia en el trabajo boludo tenemos que ir
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0035,123,105.04,0.0,5.615,11.33,25.56,keep,,no que no se que porque mi papa dice que no se que esto que lo ha hecho anda la concha de tu madre
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0036,127,107.0,0.0,2.68,7.887,23.58,keep,,esta bien eramos tres economicamente era inviable porque estabamos
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0037,94,107.73,0.0,2.942,6.897,21.88,keep,,si ibamos cuatro dividiamos entre todos era menos plata entre nafta y demas
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0038,151,107.96,0.0,2.624,8.16,23.82,keep,,juancito dice yo pongo el auto juancito tiene un 580 auto muy lindo para que anden dos personas porque es como un smart
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0040,98,104.99,0.0,4.813,12.021,32.96,keep,,ponele esta es la butaca de una la butaca de un auto normal la butaca del 580
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0041,98,110.99,0.0,3.874,10.583,24.9,keep,,o sea esta es la butaca del 580 y esta es la postura en la que vos vas asi
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0042,112,109.7,0.0,4.398,15.941,26.29,keep,,claro que es lo que pasa cuando vos vas adentro de un huevo con ruedas
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0043,105,106.18,0.0,3.132,8.614,25.45,keep,,podes ir adentro de un huevo con ruedas durante ocho horas no 34 36
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0044,199,99.25,0.0,2.857,10.71,24.45,keep,,nunca lo pensamos o sea agarramos claro o sea ese auto era un creador de mochilas estilo coscu
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0045,107,102.94,0.0,3.294,8.568,21.66,keep,,o sea salias de ahi y tenias tu propia mochila un viaje una mochila
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0046,126,99.93,0.0,3.374,11.613,24.42,keep,,agarro digo bueno a todo esto aca es donde se empieza a poner linda la cosa para ustedes
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0047,108,104.71,0.0,2.521,7.217,23.29,keep,,para nosotros nefasta porque empezamos a buscar quien iba a ocupar el lugar de amilcar
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0048,105,103.16,0.0,4.137,11.689,32.83,keep,,para bajar los costos del viaje y juancito dice mi primo se quiere sumar
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0049,104,106.17,0.0,3.508,10.198,28.8,keep,,bueno bien digo que onda tu primo mira digo juancito es un viaje de 36 horas
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0050,114,103.87,0.0,3.318,9.662,25.8,keep,,nosotros nos conocemos podemos viajar pero a este chabon no lo conocemos
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0051,84,105.42,0.0,3.407,9.164,24.83,keep,,o sea es recopado es un genio buena onda chabon
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0052,139,103.91,0.0,4.572,12.196,30.38,keep,,piola bueno como se llama alan creo que se llamaba me olvide el nombre porque termine tan
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0053,88,104.41,0.0,2.77,8.164,22.34,keep,,pero tan encabronado con ese chabon que lo aborreci
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0054,125,98.48,0.0,3.089,9.052,24.67,keep,,cuestion que el loco dice bueno viene alan no se que bueno escuchame todos buscando un gps
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0055,104,105.66,0.0,2.858,7.755,22.49,keep,,bueno escuchame vamos a buscar un gps a ver quien tiene un gps y salta
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0056,92,104.28,0.0,3.013,8.147,20.76,keep,,o sea armamos un grupito y salta y dice no no yo tengo gps bueno
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0057,123,103.4,0.0,2.694,7.012,22.01,keep,,a todo esto luciano que ya habia ido a san pablo a ver a los estudiantes por la copa libertadores
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0058,101,104.56,0.0,2.5,6.887,22.73,keep,,es ese tipo alarmista que decia yo les voy a aclarar una cosa
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0059,161,101.53,0.0,2.85,7.123,20.11,keep,,si vamos en auto hay que tener mucho cuidado en san pablo en san pablo te violan te matan violan el cadaver despues desaparecen el cadaver
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0060,117,104.14,0.0,3.466,8.153,23.92,keep,,vuelven a violarlo una vez que esta en el basurero entonces voy a decir empezo a meter miedo desde el arranque
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0061,94,105.85,0.0,2.855,6.753,22.22,keep,,entonces ya san pablo era como decir estamos pasando por el infierno
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0062,97,102.9,0.0,3.672,9.05,24.25,keep,,el umbral del infierno es san pablo entonces le digo no creo que sea tan grave luciano
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0063,81,105.91,0.0,2.858,5.863,22.05,keep,,o sea me meti en google street lo veo las autopistas que vamos a agarrar
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0064,95,102.07,0.0,3.329,7.941,23.65,keep,,no no eso es terrible hay que tener mucho cuidado y que esto que el otro
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0065,120,108.39,0.0,2.342,6.871,24.3,keep,,entonces luciano pone en el grupo actualiza el gps porque hicieron autopistas nuevas
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0066,112,106.59,0.0,2.518,6.656,25.12,keep,,que no estan en el viejo en el mapa que te viene con ese gps
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0067,109,103.58,0.0,4.637,12.348,27.37,keep,,si dice el chaman yo lo actualizo bueno cuestion que nos encontramos yo agarro
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0068,135,106.62,0.0,3.185,9.034,25.34,keep,,no tenia el goltrend mentira tenia un golpower tres puertas que tenia escape silem que sonaba
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0069,171,102.45,0.0,3.168,11.065,28.82,keep,,o sea ir en ese auto no podia ir a capital le volaba la cabeza a cualquier lo tenia medio pistero
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0070,88,102.5,0.0,3.933,11.192,21.81,keep,,entonces lo dejo dejo mi auto en la casa de mi ex en nuñez
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0071,84,104.32,0.0,3.676,11.311,22.29,keep,,y todos saliamos desde puente saavedra que estabamos ahi nomas
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0072,190,105.13,0.0,2.394,7.427,21.29,keep,,bueno lulo y yo nos vamos desde la plata y alan y juancito que eran de juancito de lanus y alan de san isidro
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0073,90,103.2,0.0,2.61,7.573,19.28,keep,,nos encontramos en punto medio que era ahi punto puente puente saavedra
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0074,113,104.01,0.0,2.829,7.305,25.6,keep,,caemos que se yo dice bueno en esa epoca yo estaba mas trastornado que ahora
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0075,82,104.88,0.0,4.155,9.008,25.64,keep,,era todo tiempo todo el tiempo era asi asi asi asi
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0076,134,104.98,0.0,3.496,8.537,23.42,keep,,entonces bueno llegamos cada uno se habia armado su bolsito traemos plata traemos esto traemos lo otro
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0077,105,104.77,0.0,2.666,7.093,19.35,keep,,cuando estabamos en por subirnos al auto
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0078,107,105.03,0.0,2.597,9.169,23.46,keep,,nos vamos a subir al auto cae nos presenta la primera vez que veiamos al alan real
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0079,112,104.67,0.0,2.129,7.113,19.26,keep,,proximamente llamado camion de basura todo el trayecto se llamo camion de basura
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0080,79,105.02,0.0,2.391,6.159,15.97,review,boca_inactiva,despues de un despues de algo estrategico que paso
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0081,109,100.88,0.0,3.165,8.107,18.39,keep,,o sea paso algo que quebro el viaje a lo cual yo lo apode el camion de basura
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0082,86,103.83,0.0,3.089,6.521,20.9,keep,,y se lo dije o sea despues del viaje se puso returbio pero
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0083,97,103.36,0.0,3.382,8.79,22.06,keep,,ahora es alan despues va a ser el camion de basura entonces agarro nos subimos
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0084,112,107.91,0.0,2.342,8.144,23.99,keep,,y cae alan y dice no yo traje un tupper con unos sanguchitos que preparo mi mama
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0085,82,108.22,0.0,2.033,6.317,20.0,keep,,es para que lleguemos mas o menos hasta uruguay puerta con brasil
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0086,102,105.63,0.0,2.569,7.171,23.88,keep,,y podamos con esto tenemos que llegar el chabon saco un tupper con no se
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0087,109,105.39,0.0,3.242,7.31,26.19,keep,,habia ponele 12 sanguchitos de pan lactal bueno que esto que el otro
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0088,102,100.64,0.0,4.003,14.705,21.94,keep,,y adentro de un tupper que persona escuchen esto que persona
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0089,131,99.79,0.0,3.828,15.76,28.99,keep,,adentro de un tupper guarda un gorrito de argentina entonces el chabon lo veo que viene con un tupper de comida
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0090,142,104.8,0.0,2.039,5.792,24.23,keep,,y un gorrito adentro entonces juancito le dice por que escuchame hay un gorro adentro del tupper
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0091,112,107.02,0.0,2.423,7.0,23.88,keep,,ah si si es el gorro de caba la que utilizo yo nunca lo lave y por que lo tenes adentro del tupper
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0092,87,105.88,0.0,2.228,6.831,23.36,keep,,no no porque lo cuido asi para que no agarre olor bueno
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0093,105,100.92,0.0,3.128,10.146,22.87,keep,,lo que era para que no agarre olor amigos era una camara al vacio de caca
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0094,125,102.0,0.0,3.214,8.881,21.19,keep,,o sea era como tener un sorete guardarlo en un tupper y decir hay olor a caca todo el año
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0095,96,107.44,0.0,3.404,8.479,27.8,keep,,tupper de caca o sea tupper de gorrito con caca entonces entonces
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0096,103,105.47,0.0,2.909,7.269,23.19,keep,,lo que no nunca lo abrimos el tupper o sea hasta no llegar a brasil no sabiamos de esto
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0097,108,105.61,0.0,3.075,8.195,26.72,keep,,deja el tupper con el gorro que el gorro tenia no se diez años habia el tupper con comida
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0098,120,105.78,0.0,2.801,7.454,26.5,keep,,bueno subimos a panamericana hablando de las reglas de convivencia
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0099,127,105.91,0.0,3.273,8.094,30.69,keep,,y demas y que esto que lo otro bueno entonces bueno estabamos ahi en el viaje arrancamos
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0100,109,105.21,0.0,3.684,8.867,20.29,keep,,subimos a panamericana si no porque muchachos cuidemos el auto cuidemos esto
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0101,97,106.51,0.0,3.917,8.748,22.8,keep,,no hagamos cagadas nos van a detener en brasil si no no no te lo voy a hablar brasil bueno
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0102,93,106.93,0.0,3.258,7.503,20.44,keep,,lulo hablando de san pablo lulo hablaba de san pablo todo lo que era era san pablo
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0103,97,103.43,0.0,3.255,10.168,24.47,keep,,hay que tener cuidado en san pablo menos mal que actualizaste el gps porque en san pablo y en san pablo
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0104,110,108.3,0.0,3.251,9.155,29.98,keep,,y en san pablo le digo luciano no quiero escucharte mas hablar de san pablo ya sabemos que en san pablo
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0105,102,102.62,0.0,5.336,13.031,33.8,keep,,nos van a coger violar nos vamos a morir y van a vender los organos
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0106,113,109.19,0.0,3.455,7.676,25.17,keep,,ya esta amigo no metas mas miedo el viaje recien empieza nos hace tomar una losa mala
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0107,115,109.84,0.0,2.847,7.331,27.59,keep,,a todos que nadie quiere tener una losa mala todavia ni salimos de buenos aires
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0108,129,100.66,0.0,4.347,16.242,30.3,keep,,bueno no yo aviso porque bueno listo terminamos estabamos yendo a la autopista entonces juancito agarra
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0110,114,102.92,0.0,4.437,11.421,26.26,keep,,y estaba el techo abierto y agarre tire el casquito por arriba del ahora si
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0111,94,111.32,0.0,3.49,10.332,27.46,keep,,pa tiro el casquito por arriba de la ventana del auto
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0112,84,107.14,0.0,4.653,13.69,24.11,keep,,sale el casquito volando claro atras venia un auto yo con un tarado
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0113,94,99.87,0.0,4.326,14.366,30.36,keep,,el casquito pa le pegan el parabrisa y el loco se nos pone el lado
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0114,97,104.58,0.0,3.386,7.065,22.82,keep,,no podemos arrancar el viaje asi tiraste un casquito en panamericana o sea amigo
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0115,108,104.52,0.0,2.764,6.471,24.99,keep,,aparte ese casco yo lo uso en el trabajo o sea no podemos arrancar el viaje asi
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0116,112,103.15,0.0,3.618,8.851,26.0,keep,,bueno a todo esto luciano dice yo tengo hambre bueno bueno que hay para comer frena a comer algo
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0117,104,106.05,0.0,2.819,8.867,28.17,keep,,no frena a comer algo yo le digo no agarra el tupper de los sandwiches no pero
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0118,114,104.65,0.0,2.415,6.535,24.25,keep,,y ahi empezo el niño racionador ahi alan dice no no no no estos sandwiches son como
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0119,98,101.7,0.0,3.868,17.898,35.01,keep,,para llegar a la frontera con brasil el en su cabeza imaginaba que esos sandwiches iban a llegar a la frontera con brasil
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0120,150,107.73,0.0,3.312,8.106,28.06,keep,,bueno no comemos la mitad y despues la otra mitad la comemos amigo cuestion que no habiamos salido de buenos aires
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0121,93,107.77,0.0,2.987,7.864,25.07,keep,,que ya no quedaba un sandwich nos habiamos comido todos los sandwiches del tupper y el chabon decia
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0122,109,105.72,0.0,2.397,6.606,22.22,keep,,no porque vamos a preparar esto para todo el viaje nos lo comimos todos son las dos eran las dos de la mañana
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0123,92,105.22,0.0,3.66,8.362,27.35,keep,,habiamos cenado todos o sea ya pintaba para hacer un viaje distinto
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0124,107,106.42,0.0,3.313,18.668,34.84,keep,,entonces voy a empezar a mostrar imagenes de los personajes este fue el viaje
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0127,131,127.14,0.0,3.942,44.333,37.17,keep,,si no quiero perderme detalles porque la verdad es una anecdota muy larga porque fue un viaje extremadamente largo
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0128,116,102.58,0.0,3.022,9.894,20.72,keep,,cuestion que el viaje arranca pasamos zarate entramos uruguay
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0129,95,99.9,0.0,3.283,14.75,34.18,keep,,lo que se acuerdan que lo que les decian era gente hagan el ingreso
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0130,102,105.88,0.0,2.61,7.814,19.65,keep,,y hagan el egreso porque se comen una multa cuestion que pasamos uruguay
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0131,112,100.5,0.0,3.327,13.282,28.23,keep,,no se por donde y pasamos bien nos sellan la salida todo bien
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0132,109,106.62,0.0,5.899,17.112,19.78,keep,,entramos se viene ese viaje a egipto con pimpi con pezzetto y decidi
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0133,102,104.04,0.0,3.163,6.915,22.09,keep,,no pagarlo con el dinero que yo uso mensualmente un amigo me recomendo una pagina
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0134,100,103.39,0.0,3.335,8.838,20.85,keep,,llamada binomocom es una pagina en la cual ustedes van a predecir
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0145,120,115.54,0.0,4.577,15.56,21.26,keep,,en la descripcion del video pasense a todo esto siempre recordandole
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0146,98,106.33,0.0,4.001,8.999,23.65,keep,,luciano diciendole tenemos que entrar y que no se que el gps lo ponen
