titulo,clip,veredicto,ov_propio,ov_prev,ov_next,audio_transcripto,texto_asignado
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0016,ok,1.000,0.000,0.125,que tiene extension en todo el territorio del planeta arranco con una pequeña seccion que se llamaba,que tiene extension en todo el territorio del planeta arranco con una pequeña seccion que se llamaba
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0017,ok,0.667,0.222,0.167,esta semana en el springfield las cosas que abrimose las cosas que abrimose hecho le mandamos una abrazo grande ayer o ti,esta semana en springfield las cosas que habremos hecho le mandamos un abrazo grande a gioti
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0018,ok,0.857,0.214,0.071,y bueno en esta nueva version que estamos tomando de la mano de jan hays,y bueno en esta nueva version que estamos tomando de la mano de ian ayesa
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0019,ok,0.727,0.182,0.000,que es voy a arrancar formalmente este resumen de noticia fallo,voy a arrancar formalmente este resumen de noticia falopa
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0020,ok,0.818,0.000,0.000,no pa hay personas preocupadas porque el mundial tapa la realidad,hay personas preocupadas porque el mundial tapa la realidad
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0021,ok,1.000,0.000,0.167,asi que luego del partido de argentina patricia bullrich subio una foto,asi que luego del partido de argentina patricia bullrich subio una foto
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0022,ok,0.769,0.154,0.154,recordando que carina milai se choro el siguiente porcentaje de la agencia de discapacidad,recordando que el mundial tapa la realidad y karina millay se chorio el siguiente porcentaje de la agencia de discapacidad
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0023,ok,1.000,0.286,0.714,el 3 para que no nos mariemos,el 3 para que no nos mariemos
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0024,ok,0.889,0.444,0.111,para que no nos mariamos casi le pongo like casi le pongo like casi le pongo like,para que no nos mariemos casi le pongo like si si esto no se opina
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0025,texto_dudoso,0.400,0.200,0.000,ay unbinacho no como nihora,hay un binacho no como nicolas
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0026,ok,0.857,0.000,0.143,haseme zoom a las camperas del fondo,mira mira haceme zoom a las camperas del fondo
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0027,ok,0.667,0.000,0.083,que campera que esta bien que esta bien cuatro de la mañana sumiando fotos de patricia urly,que camperas que estas viendo que estas viendo nicolas cuatro de la mañana sumiando fotos de patricia bullrich
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0028,ok,0.889,0.111,0.222,es raro lo que hace donde hay un binag,es raro lo que hace donde hay un binacho
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0029,ok,1.000,0.500,0.500,no hay un binacho nicolas deja nicolas deja,no hay un binacho nicolas deja nicolas deja
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0030,ok,0.714,0.095,0.190,a parte es lo mejor que tienes si se toma un minacho la verdad deja de intentar lesionar la imagen de patricia buller,aparte es lo mejor que tiene si se tomo un binacho la verdad deja de intentar lesionar la imagen de patricia bullrich
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0031,ok,0.739,0.174,0.130,hay que cerrar los placares antes de sacar su selfie puedes hacerlo solo si te habras sacado el selfie pueden la capa del inodoro,hay que cerrar los placares antes de sacarse una selfie puede hacerlo solo si te habras sacado selfie con la tapa del inodoro abierta
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0032,ok,0.824,0.176,0.118,que es tordinario ordinario por favor no me hagas hablar viendo la forma en que ponen los dedos,ordinario ordinario por favor no me hagas hablar viendo la forma en que pone los dedos
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0033,ok,0.833,0.167,0.167,le pedimos a la senadora que tenga muchisimo cuidado si vale mania,le pedimos a la senadora que tenga muchisimo cuidado si va a alemania
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0034,ok,1.000,0.000,0.000,no cierto porque es asi como te descubren,no se si va a alemania  no es cierto porque es asi como te descubren
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0035,ok,0.900,0.100,0.100,la goliada argentina nos dejo a todos realmente muy emocionados,la goleada argentina nos dejo a todos realmente muy emocionados
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0036,ok,0.818,0.091,0.091,y fatima flores no es la excepcion la ex novia del presidente,y fatima flores no es la excepcion la exnovia del presidente
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0037,ok,0.900,0.100,0.000,incidentemente la artista argentina tuvo la suerte de estar en la cancha,la artista argentina tuvo la suerte de estar en la cancha
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0038,ok,1.000,0.000,0.000,y subio un video realmente muy expresivo,y subio un video realmente muy expresivo
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0039,ok,0.500,0.000,0.200,pero aqui esta el cumball la verdad que la unica forma,la verdad que la unica forma
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0040,ok,0.714,0.143,0.143,de que nos renplace la ia es que los humanos empisen a aparecer y ya,de que nos reemplace la ia es que los humanos se sienten mas contentos y hacen aparecer ia
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0041,texto_dudoso,0.000,0.000,0.000,maiz insuficientes en el,un filtro mal y nos quedamos sin las cataratas protect iguazu
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0042,ok,0.556,0.111,0.222,tratemos de diferenciarlos de la silla gente fuera y de gelatina,tratemos de diferenciarnos de las ia gente fuera ia de gelatina
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0043,ok,0.938,0.125,0.188,el unico bajon del debut de argentina fue que el partido termino a las 12 de la not,el unico bajon del debut de argentina fue que el partido termino a las 12 de la noche
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0044,ok,0.769,0.231,0.077,y al otro dia habia que elaborar salvo en la provincia del arrio,y al otro dia habia que laburar salvo en la provincia de la rioja
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0045,ok,0.800,0.300,0.200,muy bueno mundial 2026 el gobierno de la rioja decreto,mundial 2026 el gobierno de la rioja decreto
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0046,ok,0.857,0.286,0.000,sueto administrativo tras la victoria de la seleccion,asueto administrativo tras la victoria de la seleccion
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0047,ok,1.000,0.000,0.000,aplausos,aplausos no estan tan politizados
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0048,texto_dudoso,0.417,0.083,0.083,algo rical lo que interacabo bien algunos dira igual que el relativo no,capo ricardo quintana capo bien algunos diran igual que en gelatina no
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0049,ok,0.750,0.083,0.250,nosotros hacemos asoieto preventivo no sigan a la seleccion ya simplemente si,nosotros hacemos asueto preventivo no si gana la seleccion ya simplemente si juega
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0050,ok,0.700,0.200,0.200,el luneo venimo no o sea no venimos a la tar,el lunes no venimos no o sea no venimos a la tarde
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0051,ok,0.778,0.222,0.222,a la mañana si hay demasiada presion ahi tuvo,a la mañana si hay demasiada presion hay tubo
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0052,ok,0.941,0.118,0.176,no hay puente no hay industria algunos diran que el futbol de argentina se explica por la magia de mes,no hay puente no hay industria algunos diran que el futbol de argentina se explica por la magia de messi
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0053,ok,0.889,0.333,0.222,y otros por el despliegue tactico de lionel escalon,otros por el despliegue tactico de lionel escalon
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0054,ok,0.923,0.077,0.077,pero lo cierto es que todo fue gracias a la arena de la mona,y pero lo cierto es que todo fue gracias a la arenga de la mona
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0055,drift_prev,0.167,0.333,0.167,nobody pJun  todo ped a tronencia,vamos patron pesa beso ven a moler en ti
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0056,texto_dudoso,0.000,0.000,0.000,ivo complications automestica,pesa beso ven a moler en ti ven a moler en ti es como revolear el brazo capitan
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0057,ok,0.500,0.000,0.000,vamos con la segunda troca de,ojo con la segunda estrofa que pesa beso la concha para el señor
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0058,ok,1.000,0.143,0.143,va perdiendo las consonantes en el camino,va perdiendo las consonantes en el camino ven a moler en ti ven a moler en ti
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0059,texto_dudoso,0.031,0.047,0.031,el ser es el centro eso se le tiene la mola no lo suficienta 46 increi un procer de la 80 75 años ahora lo tenemos que ver en enero 175 años y 75 disco en un momento tenia mas disco que años pero amigos aprovechamos la ocasion para recordar la mejor publicacion en la historia del lionel messi no se quien dijo a la voludez que no quise saludar a la mola nunca lo vine y me lo cruce en ningun lado y obviamente que si se quien es la mona señor es noable en al peor,ven a moler en ti  ven a moler en ti ven a moler en ti
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0060,texto_dudoso,0.024,0.024,0.024,vamos a la pelota vamos a la pelota vas a marcelo palacio a que fue tu muy rico israel a probar si traje dijo matimo bosset oh maradona eh maradona maradona o messi messi vamos a decir boss of them arbeigut oh messi quien es dios mi dios mi dios mi mideos cometen ruth cometen cometen que piensan de esto cometa porque vos de,ven a moler en ti ven a moler en ti ven a moler en ti
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0061,texto_dudoso,0.062,0.062,0.062,que es el perro sabes que pienso que me gusta pensar reunion de la mesa politica y en un momento todos ahi alrededor y en un momento uno se distrae a deal de la escolar y ve que milay acaba de subir esto,ven a moler en ti
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0062,texto_dudoso,0.000,0.000,0.000,lo divertido cuedos mi melcro fuego locionarios,ven a moler en ti
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0063,texto_dudoso,0.000,0.000,0.000,de nueve de nueve,ven a moler en ti ven a moler en ti
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0064,texto_dudoso,0.111,0.056,0.056,gracias y este es adenoia el nuevo macri parece que siempre esta por decirte a gachati con ocela,ven a moler en ti ven a moler en ti ven a moler en ti actualmente que opina
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0065,drift_next,0.000,0.000,0.308,siempre tiene ese tono de la media esta catada no siempre tiene ese tono de saber oye no hay,ven a moler en ti ven a moler en ti ven a moler en ti ven a moler en ti
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0066,texto_dudoso,0.111,0.000,0.000,asi clutter del rocho debe raro lachos que ni como eyelids pa la ha ha ha ha ha ha ha ha haheric exacto y sketches,sabes cuanto dicen a vos esta siempre en esa la tiene al dicho exacto
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0067,texto_dudoso,0.462,0.000,0.308,soy muadisima de nuevo rock nacional ay de puta 20 años sin papo jajajaja,sabes cuanto dicen a vos rock nacional 20 años sin papo escuchame
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0068,texto_dudoso,0.000,0.000,0.059,posts para shapingate bastante una ep para framed pero sole cuerpo y su prosecution un intuitive de straightforward,les voy a 20 años sin papo no no no
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0069,ok,0.800,0.000,0.200,como se como volver de esto,como volver de esto veni veni veni veni veni veni
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0070,texto_dudoso,0.308,0.154,0.154,que es esto eri eri eri eri eri se te toca el pan de la cornita gordado eri gordado eri eri eri eri gordado eri eri eri,que dijo veni veni es la primera vez que se puso colorado
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0071,ok,0.583,0.167,0.167,y no me da nada con cara con cara y a cara con la que me miro amigo,con cara con cara la cara con la que me miro y me dijo
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0072,ok,0.750,0.250,0.250,pone la cara gordo dale dale dale dale dale dale le toca colorado,pone la cara gordo dale dale dale esta todo colorado
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0073,ok,0.750,0.125,0.188,podes no dar la cara podes no dar la cara podes que arto de espalda si quiere si quiere sabe como te dicen algo,podes no dar la cara podes quedarte de espalda si quiere si quiere sabes como te dicen a vos
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0074,ok,0.714,0.143,0.000,como y la dira por que pues tenes la carne adentro y lo jugo en la puerta,como heladera por que porque tenes la carne adentro y los vos en la puerta
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0075,texto_dudoso,0.000,0.000,0.000,so,no no  no no no no dios mio
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0076,texto_dudoso,0.333,0.000,0.000,me puedes cerrarlos,no   no                  despues me censuras a mi
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0077,ok,0.700,0.100,0.000,si si si si si lo bien que hago yo voy a hacer sinceros,si obvio obvio si si y lo bien que hago les voy a ser sincero
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0078,ok,0.933,0.000,0.067,pero solamente pusimos el video de macri para poder llegar de alguna forma mas o menos,solamente pusimos el video de macri para poder llegar de alguna forma mas o menos
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0079,ok,0.625,0.250,0.000,menos organica a la mantica de juliana aguad,organica a la manteca de juliana aguada
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0080,ok,0.667,0.000,0.444,como me gusta el panco matante ay tan tan tan humilde,como me gusta el pan con manteca tan humilde
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0081,texto_dudoso,0.250,0.250,0.000,como me gusta el banco en mantec que se ha tostado he estado aqui en tu arregra,como me gusta el pan con manteca esa tostada esta toda rara
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0082,texto_dudoso,0.000,0.125,0.000,mas scarf por eso afotada o con mas displacement,la tostada de marco rojo haceles un alpizarron del fondo newell
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0083,ok,0.857,0.000,0.143,uuuu y que bien nico como estas enganchando cosas pero esto es data impresionante,uy que bien nico como estas enganchando cosas pero esto es data impresionante
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0084,ok,0.857,0.286,0.143,que diferencia es algo para todos los que,la felicidad es algo es algo para todos los que
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0085,ok,0.750,0.083,0.250,compras te puedes decir si quiero ver que compra en el corazon,compras despues dice si quiero ver que compra en el corazon
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0086,ok,0.500,0.083,0.167,te amo juliana que por favor os imaginas que juliana guara no compran a,te amo juliana vos te imaginas que juliana guada no compra nada
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0087,ok,0.769,0.077,0.000,por favor dejenme salir de este taller y suelga hace 14 años no,por favor dejenme salir de este taller estoy hace 14 años encerrado
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0088,ok,0.600,0.000,0.100,hoy es mi cumpleaños extraño a mi papiño ludima profe chico,hoy es mi cumpleaños extraño a mi familia el ultimo es principe chicos
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0089,texto_dudoso,0.000,0.000,0.111,hold lo mismo naar aqui tiene que enf zuruck,tengo nueve años ayuda ni hablar de esa manteca es cool es una manteca envuelta en un pañal
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0090,ok,0.500,0.333,0.250,que es eso esa manteca me voy a quemar de la tosta,que es eso esa manteca esta media quemada la tostada
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0091,texto_dudoso,0.333,0.333,0.333,esa hugo mo,esa manteca no es silolay
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0092,ok,0.867,0.133,0.133,esa paga te responda una es muy de recien separada es muy de recien separada esa es que el rey de españa te diga,esa es para que te responda uno es muy de recien separada es de que el rey de españa te diga
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0093,ok,0.778,0.222,0.778,como me gusta el panco en manteca que historia que historia que historia,que linda tostada como me gusta el pan con manteca que historia que historia
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0094,ok,0.556,0.333,0.111,que pasionante historia y la chisera es asi o la chisera es asi como me gusta le voto el pongo mas de que,que apasionante historia y la hechicera es asi como me gusta el pan con manteca
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0095,texto_dudoso,0.000,0.111,0.000,exacto no es mi alma interide suey v runnersipper,bueno sigamos uno que paso de mendigo a rey
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0096,ok,0.706,0.176,0.176,de el mundial pasado a este fue manuel adorno ese ascenso social que do muy bien resumido,del mundial pasado a este fue manuel adorni ese ascenso social quedo muy bien resumido
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0097,ok,0.778,0.444,0.111,en el siguiente tweet del turcogarsia adorni el mundial pasado,en el siguiente tuit del turco garcia adorni el mundial pasado
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0098,texto_dudoso,0.444,0.222,0.222,tu y tu aso me te turco no no el turco esta,la verdad que es un tuitazo no no el turco esta
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0099,ok,0.500,0.143,0.000,te mandamos una brazo grande sobre el que se diga a vinete carlos pagni,te mandamos un abrazo grande sobre el jefe de gabinete carlos pagni
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0100,ok,0.500,0.125,0.000,dijo lo siguiente tu asion de manuela dorni,dijo lo siguiente situacion de manuel adorni
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0101,ok,0.818,0.000,0.364,probablemente el escandalo no se diva ya a una cuestion mora,probablemente el escandalo no se deba ya a una cuestion moral
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0102,ok,1.000,0.571,0.286,no solamente a una cuestion de corrupcion,solamente no solamente a una cuestion de corrupcion
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0103,ok,0.765,0.176,0.176,que es de lo que despues vamos a hablar y analizar si no mas viene la indigencia con,que es de lo que despues vamos a hablar y analizar sino mas bien a la indigencia conceptual
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0104,ok,0.833,0.667,0.000,conceptual a la indigencia diriamos cognitiva,a la indigencia diriamos cognitiva
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0105,ok,0.500,0.000,0.333,de adorny para defender sus situaciones,de adorni para defender su situacion
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0106,ok,0.714,0.286,0.000,su accion para explicar sus cuentas para razonar,para explicar sus cuentas para razonar
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0107,ok,1.000,0.000,0.375,tratandose de un jefe de gabinete ese tipo de deficit,tratandose de un jefe de gabinete ese tipo de deficit
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0108,ok,0.875,0.375,0.125,ese tipo de deficiencia llama muchisimo la tension,ese tipo de deficiencia llama muchisimo la atencion
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0109,ok,0.727,0.091,0.000,atencion y por momentos parecen concebible que alguien tan poco dotado,a la gente que esta en la ciudad y por momentos parece inconcebible que alguien tan poco dotado
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0110,ok,0.556,0.000,0.000,intelectualmente has llegado al lugar donde los se vuelven,intelectualmente haya llegado al lugar donde lo llevo el poder
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0111,ok,0.857,0.000,0.143,a ver como decirlo alguien tan pelotu,a ver como decirlo alguien tan pelotudo
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0112,ok,0.667,0.167,0.000,como adormi sobre pero lo peor,como adorni pero lo peor
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0113,ok,0.800,0.000,0.300,de la esta fue de esta semana no tiene que ver conador,de la estafa de esta semana no tiene que ver con adorni
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0114,ok,0.875,0.500,0.250,tiene que ver con las figuritas del mundo,tiene que ver con las figuritas del mundial
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0115,ok,0.800,0.300,0.100,estafaron a pampita con profiguritas del mundial y eran dos,estafaron a pampita compro figuritas del mundial y eran dos
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0116,ok,0.700,0.100,0.100,de puro edito marco le puede pasar a cualquiera no no le puede pasar,cajas de pure de tomate como le puede pasar a cualquiera no no le puede pasar a cualquiera
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0117,texto_dudoso,0.400,0.200,0.100,que es el mejor de todo el mundo como era lo que era,como ese mejor titulo del mundo como eran dos cajas de pure de tomate
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0118,ok,0.857,0.071,0.143,no puede pasar cualquier no no se te pasa por comprar por mercado libre no se como comprar las fibulas,a cualquiera no le puede pasar a cualquiera no eso te pasa por comprar por mercado libre no se como compran las figuritas del mundial
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0119,texto_dudoso,0.333,0.167,0.111,que vos como compra que vas a ir yo no comprofiurtelo el mundo y al tengo pano de verias,como compras que vas al kiosco yo no compro figuritas del mundial bueno deberias
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0120,ok,0.643,0.071,0.143,si esta en el que os con el en dos lados hay filas de niños con padre,si estan en el kiosco en todos lados hay filas de niños con sus padres
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0121,texto_dudoso,0.000,0.000,0.000,se whit algori ceis ziel pres,es pampita chicos que quiere decir es pampita chicos si que pasa vino vos vino vos
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0122,texto_dudoso,0.000,0.000,0.000,epa diga diga epa diga diga,vino vos es pampita chicos es pampita chicos es pampita chicos
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0123,ok,0.625,0.000,0.125,rida nos vamos a meter con otra seleccion,barrida nos vamos a meter con otras selecciones
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0124,ok,0.923,0.077,0.308,a la nuestra le decimos la escaloneta y a cabo verde se la ha podado como,a la nuestra le decimos la escaloneta y a cabo verde se la ha apodado como
