split,spk,titulo,clip,n_frames,texto,npz,source_id,training_usability,policy_moderate,review_score,quality_score,visual_quality_label
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0021,188,vos sos pelotudo luciano y yo lulo luciano le digo hermoso las pelotas boludo acabo de comprar me acabo de meter no se cuantos miles de pesos en el orto boludo,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0021.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,3.00,0.7093,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0022,142,no brasil en temporada baja hermoso vos sos un tarado le digo ahora que mierda hago en el pasaje no me van a devolver la plata,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0022.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,5.00,0.6695,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0024,111,bueno a todo esto todos cagandose de risa de que ya habia gastado 15000 20000 pesos al pedo,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0024.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,5.00,0.6252,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0025,152,ya empece a hacer el reclamo denuncie que la tarjeta la habia perdido que me hicieron el pitching no se que mierda,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0025.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,3.00,0.7092,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0026,145,cagando la puteada a la hermana de amilcar le digo veronica como me vas a mandar un link de un pasaje en octubre cuando te doblan junio,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0026.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,9.00,0.6386,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0027,158,bueno cuestion que claro no terminaba mas todos burlandose bueno tenian razon era un pelotudo,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0027.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,3.00,0.6955,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0028,88,cuestion que agarro y me dice bueno vamos en auto,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0028.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,9.00,0.544,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0029,192,yo tenia el goltren amigo le digo yo esta todo bien pero en el goltren no llegamos ni a palo o sea y re incomodo,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0029.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,9.00,0.6074,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0030,143,hacemos 10 horas de viaje y tenemos que operar de la columna a la mitad del auto,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0030.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,9.00,0.5727,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0031,155,o sea no podemos ir a rio de janeiro en un goltren bueno dice discutiendo en cual vamos bueno a ver quien se sube,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0031.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,9.00,0.5882,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0032,80,eramos amilcar luciano juancito y yo,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0032.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,9.00,0.5485,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0033,138,vamos cuatro bueno listo vamos cuatro faltando un dia se baja amilcar,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0033.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,10.00,0.5579,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0034,113,no que no se digo mira amilcar yo ya me pedi el dia en el trabajo boludo tenemos que ir,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0034.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,5.00,0.6299,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0035,123,no que no se que porque mi papa dice que no se que esto que lo ha hecho anda la concha de tu madre,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0035.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,9.00,0.6546,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0036,127,esta bien eramos tres economicamente era inviable porque estabamos,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0036.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,10.00,0.5544,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0038,151,juancito dice yo pongo el auto juancito tiene un 580 auto muy lindo para que anden dos personas porque es como un smart,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0038.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,10.00,0.5708,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0040,98,ponele esta es la butaca de una la butaca de un auto normal la butaca del 580,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0040.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,1.00,0.7577,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0041,98,o sea esta es la butaca del 580 y esta es la postura en la que vos vas asi,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0041.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,1.00,0.7398,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0042,112,claro que es lo que pasa cuando vos vas adentro de un huevo con ruedas,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0042.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,3.00,0.7324,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0043,105,podes ir adentro de un huevo con ruedas durante ocho horas no 34 36,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0043.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,10.00,0.5803,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0044,199,nunca lo pensamos o sea agarramos claro o sea ese auto era un creador de mochilas estilo coscu,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0044.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,9.00,0.6452,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0045,107,o sea salias de ahi y tenias tu propia mochila un viaje una mochila,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0045.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,10.00,0.5706,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0046,126,agarro digo bueno a todo esto aca es donde se empieza a poner linda la cosa para ustedes,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0046.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,9.00,0.6686,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0047,108,para nosotros nefasta porque empezamos a buscar quien iba a ocupar el lugar de amilcar,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0047.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,10.00,0.526,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0048,105,para bajar los costos del viaje y juancito dice mi primo se quiere sumar,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0048.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,1.00,0.6887,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0049,104,bueno bien digo que onda tu primo mira digo juancito es un viaje de 36 horas,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0049.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,5.00,0.6534,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0051,84,o sea es recopado es un genio buena onda chabon,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0051.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,10.00,0.5685,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0052,139,piola bueno como se llama alan creo que se llamaba me olvide el nombre porque termine tan,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0052.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,1.00,0.7002,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0053,88,pero tan encabronado con ese chabon que lo aborreci,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0053.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,10.00,0.5268,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0054,125,cuestion que el loco dice bueno viene alan no se que bueno escuchame todos buscando un gps,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0054.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,9.00,0.6268,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0055,104,bueno escuchame vamos a buscar un gps a ver quien tiene un gps y salta,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0055.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,10.00,0.5502,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0056,92,o sea armamos un grupito y salta y dice no no yo tengo gps bueno,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0056.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,10.00,0.5513,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0057,123,a todo esto luciano que ya habia ido a san pablo a ver a los estudiantes por la copa libertadores,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0057.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,10.00,0.5471,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0058,101,es ese tipo alarmista que decia yo les voy a aclarar una cosa,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0058.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,10.00,0.5133,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0059,161,si vamos en auto hay que tener mucho cuidado en san pablo en san pablo te violan te matan violan el cadaver despues desaparecen el cadaver,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0059.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,10.00,0.5604,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0060,117,vuelven a violarlo una vez que esta en el basurero entonces voy a decir empezo a meter miedo desde el arranque,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0060.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,9.00,0.5993,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0062,97,el umbral del infierno es san pablo entonces le digo no creo que sea tan grave luciano,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0062.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,9.00,0.6065,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0064,95,no no eso es terrible hay que tener mucho cuidado y que esto que el otro,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0064.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,10.00,0.5599,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0067,109,si dice el chaman yo lo actualizo bueno cuestion que nos encontramos yo agarro,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0067.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,5.00,0.676,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0068,135,no tenia el goltrend mentira tenia un golpower tres puertas que tenia escape silem que sonaba,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0068.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,10.00,0.5913,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0069,171,o sea ir en ese auto no podia ir a capital le volaba la cabeza a cualquier lo tenia medio pistero,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0069.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,8.00,0.6541,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0070,88,entonces lo dejo dejo mi auto en la casa de mi ex en nuñez,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0070.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,9.00,0.6423,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0072,190,bueno lulo y yo nos vamos desde la plata y alan y juancito que eran de juancito de lanus y alan de san isidro,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0072.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,10.00,0.5596,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0073,90,nos encontramos en punto medio que era ahi punto puente puente saavedra,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0073.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,9.00,0.5266,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0074,113,caemos que se yo dice bueno en esa epoca yo estaba mas trastornado que ahora,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0074.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,10.00,0.5551,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0075,82,era todo tiempo todo el tiempo era asi asi asi asi,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0075.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,10.00,0.5956,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0076,134,entonces bueno llegamos cada uno se habia armado su bolsito traemos plata traemos esto traemos lo otro,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0076.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,9.00,0.6122,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0077,105,cuando estabamos en por subirnos al auto,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0077.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,10.00,0.523,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0078,107,nos vamos a subir al auto cae nos presenta la primera vez que veiamos al alan real,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0078.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,10.00,0.5562,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0079,112,proximamente llamado camion de basura todo el trayecto se llamo camion de basura,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0079.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,10.00,0.501,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0081,109,o sea paso algo que quebro el viaje a lo cual yo lo apode el camion de basura,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0081.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,10.00,0.562,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0083,97,ahora es alan despues va a ser el camion de basura entonces agarro nos subimos,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0083.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,10.00,0.5848,questionable
