job_id,video_id,part_id,prompt_md_path,expected_raw_output_path,main_clips,context_clips,estimated_chars,status,notes
video_jgp8WZvtkWU__part_000,jgp8WZvtkWU,part_000,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_jgp8WZvtkWU__part_000.md,data_cleaning_clean_v1\raw_outputs\video_jgp8WZvtkWU__part_000_raw.jsonl,202,3,162005,pending_manual,
video_h3HtBhArO1Q__part_004,h3HtBhArO1Q,part_004,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_h3HtBhArO1Q__part_004.md,data_cleaning_clean_v1\raw_outputs\video_h3HtBhArO1Q__part_004_raw.jsonl,196,6,162011,pending_manual,
video_h3HtBhArO1Q__part_002,h3HtBhArO1Q,part_002,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_h3HtBhArO1Q__part_002.md,data_cleaning_clean_v1\raw_outputs\video_h3HtBhArO1Q__part_002_raw.jsonl,197,6,162049,pending_manual,
video_jgp8WZvtkWU__part_001,jgp8WZvtkWU,part_001,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_jgp8WZvtkWU__part_001.md,data_cleaning_clean_v1\raw_outputs\video_jgp8WZvtkWU__part_001_raw.jsonl,197,6,162135,pending_manual,
video_j4x2GC1Ztro__part_003,j4x2GC1Ztro,part_003,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_j4x2GC1Ztro__part_003.md,data_cleaning_clean_v1\raw_outputs\video_j4x2GC1Ztro__part_003_raw.jsonl,192,6,162265,pending_manual,
video_j4x2GC1Ztro__part_001,j4x2GC1Ztro,part_001,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_j4x2GC1Ztro__part_001.md,data_cleaning_clean_v1\raw_outputs\video_j4x2GC1Ztro__part_001_raw.jsonl,191,6,162339,pending_manual,
video_j4x2GC1Ztro__part_000,j4x2GC1Ztro,part_000,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_j4x2GC1Ztro__part_000.md,data_cleaning_clean_v1\raw_outputs\video_j4x2GC1Ztro__part_000_raw.jsonl,195,3,162433,pending_manual,
video_9k48Da7vkzE,9k48Da7vkzE,,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_9k48Da7vkzE.md,data_cleaning_clean_v1\raw_outputs\video_9k48Da7vkzE_raw.jsonl,195,0,187752,pending_manual,
video_PyOSsNLEg4I,PyOSsNLEg4I,,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_PyOSsNLEg4I.md,data_cleaning_clean_v1\raw_outputs\video_PyOSsNLEg4I_raw.jsonl,190,0,192923,pending_manual,
video_sjnH4bTak9s,sjnH4bTak9s,,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_sjnH4bTak9s.md,data_cleaning_clean_v1\raw_outputs\video_sjnH4bTak9s_raw.jsonl,236,0,201513,pending_manual,
video_yJxDKBgw5NU,yJxDKBgw5NU,,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_yJxDKBgw5NU.md,data_cleaning_clean_v1\raw_outputs\video_yJxDKBgw5NU_raw.jsonl,238,0,207246,pending_manual,
video_R3f0x1IJvhI,R3f0x1IJvhI,,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_R3f0x1IJvhI.md,data_cleaning_clean_v1\raw_outputs\video_R3f0x1IJvhI_raw.jsonl,284,0,212409,pending_manual,
