rank,url,title,channel,decision,total_score,visual_quality_score,audio_quality_score,context_score,usable_minutes_estimate,accepted_clips_estimate,recommended_use,reasons,contact_sheet_path,notes
11,https://www.youtube.com/watch?v=jgp8WZvtkWU,Martin Menem con Iván Schargrodsky en #OnTheRecord,Cenital,accept,90.69,95.53,77.77,98.0,60,748.0,ingest_partial,audio_proxy_intermedio|audio_proxy_suficiente|audio_score_sobre_threshold|formato_interview|formato_largo|fuente_argentina_probable|speaker_count_usable|total_score_alto|visual_proxy_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados|source_cap_applied_partial,data_pipeline/discovery/outputs/contact_sheets/jgp8WZvtkWU.jpg,medium:samples_incompletos|audio_asr_confirmado
12,https://www.youtube.com/watch?v=h3HtBhArO1Q,El Método Rebord #56 - Andy Chango,El Método Rebord,accept,90.64,84.25,96.38,98.0,60,1228.0,ingest_partial,audio_proxy_alto|audio_score_sobre_threshold|black_frame_rate_alto|formato_largo|formato_podcast|fuente_argentina_probable|speaker_count_usable|total_score_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados|source_cap_applied_partial,data_pipeline/discovery/outputs/contact_sheets/h3HtBhArO1Q.jpg,low
13,https://www.youtube.com/watch?v=EhYznjqlcKY,Guido Di Tella con Juan Carlos de Pablo - DiFilm (1998),archivodichiara,accept,89.37,92.74,90.0,80.0,34.01,408.0,ingest_full,audio_proxy_alto|audio_score_sobre_threshold|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|total_score_alto|visual_proxy_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados,data_pipeline/discovery/outputs/contact_sheets/EhYznjqlcKY.jpg,low
14,https://www.youtube.com/watch?v=YYIVFA000BI,Pepe Mujica con Jorge Fontevecchia (Entrevista Completa),Perfil,accept,89.24,93.07,77.03,98.0,56.86,682.0,ingest_partial,audio_proxy_intermedio|audio_proxy_suficiente|audio_score_sobre_threshold|formato_interview|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|total_score_alto|visual_proxy_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados,data_pipeline/discovery/outputs/contact_sheets/YYIVFA000BI.jpg,medium:audio_asr_confirmado
15,https://www.youtube.com/watch?v=WMk6afYRfKM,"Entrevista en “IP Noticias” con Noelia Barral, Romina Calderaro y Nora Veiras - IP - 07/02/2021",Alberto Fernández,accept,89.0,84.8,90.0,98.0,56.7,680.0,ingest_partial,audio_proxy_alto|audio_score_sobre_threshold|formato_interview|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|total_score_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados,data_pipeline/discovery/outputs/contact_sheets/WMk6afYRfKM.jpg,low
16,https://www.youtube.com/watch?v=PRQEkiIWps0,Coscu Mete Un Bombazo Histórico Después De Probar Las Salsas Más Picantes Del Mundo,Terapia Picante,accept,88.92,84.63,90.0,98.0,27.57,331.0,ingest_full,audio_proxy_alto|audio_score_sobre_threshold|formato_largo|formato_streamer|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|total_score_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados,data_pipeline/discovery/outputs/contact_sheets/PRQEkiIWps0.jpg,low
17,https://www.youtube.com/watch?v=sjnH4bTak9s,Obstáculos ideológicos en el empleo,Universidad Torcuato Di Tella,accept,88.85,82.07,94.06,98.0,9.13,110.0,ingest_full,audio_proxy_alto|audio_score_sobre_threshold|formato_interview|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|total_score_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados,data_pipeline/discovery/outputs/contact_sheets/sjnH4bTak9s.jpg,low
18,https://www.youtube.com/watch?v=q94HfK07DjI,El último reportaje del papa Francisco con Infobae,Infobae,accept,88.39,91.01,77.61,98.0,24.55,295.0,ingest_full,audio_proxy_alto|audio_proxy_intermedio|audio_score_sobre_threshold|formato_interview|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|total_score_alto|visual_proxy_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados,data_pipeline/discovery/outputs/contact_sheets/q94HfK07DjI.jpg,medium:audio_asr_confirmado
19,https://www.youtube.com/watch?v=EuSM3LscaWI,Marcos Galperin | La vida del emprendedor | Aprender de Grandes #072,Aprender de Grandes,accept,87.48,80.21,92.58,98.0,25.5,306.0,ingest_full,audio_proxy_alto|audio_score_sobre_threshold|face_detect_rate_bajo|formato_largo|formato_podcast|fuente_argentina_probable|speaker_count_usable|total_score_alto|visual_proxy_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados,data_pipeline/discovery/outputs/contact_sheets/EuSM3LscaWI.jpg,low
20,https://www.youtube.com/watch?v=IGYG0Kn0wxo,ENTREVISTA: DIEGO TORRES,Congo,accept,86.56,91.29,94.39,63.0,31.17,374.0,ingest_full,audio_proxy_alto|audio_score_sobre_threshold|contexto_incierto|formato_a_evitar_keyword|formato_interview|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|total_score_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados,data_pipeline/discovery/outputs/contact_sheets/IGYG0Kn0wxo.jpg,low
21,https://www.youtube.com/watch?v=OA1biHKSyTw,El Método Rebord #48 - Alejandro Dolina,El Método Rebord,maybe_review,90.29,91.94,82.41,98.0,0.0,0,manual_review,audio_proxy_suficiente|audio_score_sobre_threshold|formato_educational|formato_largo|fuente_argentina_probable|speaker_count_usable|total_score_alto|visual_proxy_alto|visual_proxy_suficiente|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados|source_cap_applied_backup,data_pipeline/discovery/outputs/contact_sheets/OA1biHKSyTw.jpg,low
22,https://www.youtube.com/watch?v=1q6HfhZUGhc,Historias debidas VIII: Silvia Rivera Cusicanqui - Canal Encuentro,Canal Encuentro,maybe_review,89.5,79.81,100.0,98.0,8.87,106.0,manual_review,audio_proxy_alto|audio_score_sobre_threshold|formato_interview|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|total_score_alto|visual_proxy_suficiente|asr_espanol_y_habla_confirmados,data_pipeline/discovery/outputs/contact_sheets/1q6HfhZUGhc.jpg,medium:samples_incompletos
23,https://www.youtube.com/watch?v=qfBtw6r0Dvc,EXPLOTÓ el DEBATE entre DIEGO RECALDE CONTRA TODOS | DOMINBORD #7 | BLENDER,BLENDER,maybe_review,88.97,86.72,98.7,80.0,0.0,0,manual_review,audio_proxy_alto|audio_score_sobre_threshold|formato_conversation|formato_largo|fuente_argentina_probable|muchos_hablantes_posible|scene_cut_proxy_alto|total_score_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados|source_cap_applied_backup,data_pipeline/discovery/outputs/contact_sheets/qfBtw6r0Dvc.jpg,low
24,https://www.youtube.com/watch?v=3tmLBV115Ws,"Autismo, del que no se nota | Valentín Muro en Aprender de Grandes",Aprender de Grandes,maybe_review,87.82,79.91,94.21,98.0,4.93,59.0,manual_review,audio_proxy_alto|audio_score_sobre_threshold|formato_largo|formato_podcast|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|total_score_alto|visual_proxy_alto|asr_espanol_y_habla_confirmados,data_pipeline/discovery/outputs/contact_sheets/3tmLBV115Ws.jpg,low
25,https://www.youtube.com/watch?v=XygzWpjcGdU,La entrevista completa de Luis Majul con Javier Milei (05/10/2025),LA NACION,maybe_review,87.26,82.6,87.88,98.0,0.0,0.0,manual_review,audio_proxy_alto|audio_proxy_suficiente|audio_score_sobre_threshold|formato_interview|formato_largo|fuente_argentina_probable|multi_face_rate_alto|speaker_count_usable|total_score_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados|sin_minutos_utiles_estimados,data_pipeline/discovery/outputs/contact_sheets/XygzWpjcGdU.jpg,low
26,https://www.youtube.com/watch?v=MQXeQFI_KU4,La Argentina y las perspectivas de la economía global,Universidad Torcuato Di Tella,maybe_review,86.81,78.43,93.33,98.0,8.27,99.0,manual_review,audio_proxy_alto|audio_score_sobre_threshold|formato_educational|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|total_score_alto|visual_proxy_suficiente|asr_espanol_y_habla_confirmados,data_pipeline/discovery/outputs/contact_sheets/MQXeQFI_KU4.jpg,low
27,https://www.youtube.com/watch?v=19wIlrs4jx4,DIEZ AÑOS DE PONTIFICADO  | El Papa Francisco mano a mano con Jorge Fontevecchia | COMPLETO,Perfil,maybe_review,86.79,83.78,84.32,98.0,0.0,0,manual_review,audio_proxy_alto|audio_proxy_suficiente|audio_score_sobre_threshold|formato_interview|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|total_score_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados|source_cap_applied_backup,data_pipeline/discovery/outputs/contact_sheets/19wIlrs4jx4.jpg,low
28,https://www.youtube.com/watch?v=dB4HR5WpYZc,“La primera estrella” retrata la hazaña uruguaya que cambió la visión sobre el fútbol rioplatense,En Perspectiva + VIDEO ,maybe_review,85.49,72.56,98.7,98.0,3.41,41.0,manual_review,audio_proxy_alto|audio_score_sobre_threshold|formato_largo|formato_podcast|fuente_argentina_probable|perfil_extremo_proxy|scene_cut_proxy_alto|speaker_count_usable|total_score_alto|asr_espanol_y_habla_confirmados,data_pipeline/discovery/outputs/contact_sheets/dB4HR5WpYZc.jpg,low
29,https://www.youtube.com/watch?v=W0yLfgivFP4,"Felipe Pigna: ""Cada vez admiro más a San Martín"" | Caja Negra",Filo News,maybe_review,85.21,74.03,95.3,98.0,10.38,125.0,manual_review,audio_proxy_alto|audio_score_sobre_threshold|black_frame_rate_alto|face_detect_rate_bajo|formato_interview|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|total_score_alto|asr_espanol_y_habla_confirmados,data_pipeline/discovery/outputs/contact_sheets/W0yLfgivFP4.jpg,low
30,https://www.youtube.com/watch?v=iq3Kk2OFJI4,Destellos en la oscuridad. Episodio 6. Lucrecia Martel,elDiarioAR,maybe_review,84.91,71.46,98.58,98.0,7.44,89.0,manual_review,audio_proxy_alto|audio_score_sobre_threshold|black_frame_rate_alto|face_detect_rate_bajo|formato_largo|formato_monologue|fuente_argentina_probable|speaker_count_usable|visual_proxy_alto|asr_espanol_y_habla_confirmados,data_pipeline/discovery/outputs/contact_sheets/iq3Kk2OFJI4.jpg,low
31,https://www.youtube.com/watch?v=JjBJv0GDR4w,Hernán Casciari: “Se que mi transcendencia va a ser popular” | Caja Negra,Filo News,maybe_review,84.75,79.71,84.3,98.0,8.23,99.0,manual_review,audio_proxy_suficiente|audio_score_sobre_threshold|black_frame_rate_alto|formato_interview|formato_largo|fuente_argentina_probable|speaker_count_usable|asr_espanol_y_habla_confirmados,data_pipeline/discovery/outputs/contact_sheets/JjBJv0GDR4w.jpg,low
32,https://www.youtube.com/watch?v=_nqNA76G29M,LA CHARLA DEL AÑO: MESSI EN LUZU COMO NUNCA LO VISTE,LUZU TV,maybe_review,84.44,74.77,91.51,98.0,7.72,93.0,manual_review,audio_proxy_alto|audio_proxy_suficiente|audio_score_sobre_threshold|formato_educational|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|visual_proxy_intermedio|asr_espanol_y_habla_confirmados,data_pipeline/discovery/outputs/contact_sheets/_nqNA76G29M.jpg,low
33,https://www.youtube.com/watch?v=G0izzumb2VY,INSTRUCCIÓN EN BASE A LAS COMPETENCIAS AERONÁUTICAS,Sociedad Argentina De Aviacion,maybe_review,84.35,81.35,80.25,98.0,11.47,138.0,manual_review,audio_proxy_alto|audio_proxy_intermedio|audio_proxy_suficiente|audio_score_sobre_threshold|formato_educational|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|visual_proxy_alto|visual_proxy_suficiente|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados,data_pipeline/discovery/outputs/contact_sheets/G0izzumb2VY.jpg,low
34,https://www.youtube.com/watch?v=Il9Lb3hl_Nw,Pedro Aznar - Encuentro en el Estudio HD (Completo),Eduardo Mellado Soto,maybe_review,83.93,79.82,93.41,80.0,7.45,89.0,manual_review,audio_proxy_alto|audio_score_sobre_threshold|black_frame_rate_alto|formato_largo|fuente_argentina_probable|visual_proxy_intermedio|visual_proxy_suficiente|asr_espanol_y_habla_confirmados,data_pipeline/discovery/outputs/contact_sheets/Il9Lb3hl_Nw.jpg,low
35,https://www.youtube.com/watch?v=nK1-Zn3LZfQ,#NADIEDICENADA | DÍA HISTÓRICO: ROSALÍA QUE MUJER ¿DEBATE SI ES TOXI O TIENE UN PUNTO?,LUZU TV,maybe_review,83.66,75.43,94.49,88.0,22.64,272.0,manual_review,audio_proxy_alto|audio_score_sobre_threshold|formato_largo|formato_streamer|fuente_argentina_probable|muchos_hablantes_posible|scene_cut_proxy_alto|speaker_count_usable|asr_espanol_y_habla_confirmados,data_pipeline/discovery/outputs/contact_sheets/nK1-Zn3LZfQ.jpg,medium:samples_incompletos
36,https://www.youtube.com/watch?v=dSzqoR07F28,"Chino Darín: ""Si hubiera nacido 15 años después, ahora sería streamer"" | Caja Negra",Filo News,maybe_review,83.56,79.57,80.6,98.0,13.6,163.0,manual_review,audio_proxy_suficiente|audio_score_sobre_threshold|black_frame_rate_alto|formato_interview|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|asr_espanol_y_habla_confirmados,data_pipeline/discovery/outputs/contact_sheets/dSzqoR07F28.jpg,low
37,https://www.youtube.com/watch?v=fGw0Lq2kVcs,"¡VIVA LA DIFERENCIA, VIVA LAS TRAVAS, VIVA PERÓN! | FLOR DE LA V con JULIA MENGOLINI",Futurock FM,maybe_review,83.51,93.54,80.45,63.0,13.77,165.0,manual_review,audio_proxy_alto|audio_proxy_intermedio|audio_score_sobre_threshold|contexto_incierto|formato_a_evitar_keyword|formato_interview|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|visual_proxy_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados,data_pipeline/discovery/outputs/contact_sheets/fGw0Lq2kVcs.jpg,medium:samples_incompletos
38,https://www.youtube.com/watch?v=RXivg31DQ28,"Natalia Oreiro: ""Gilda fue el único proyecto donde yo sentí una pérdida cuando terminó"" | Caja Negra",Filo News,maybe_review,83.4,77.99,82.7,98.0,6.53,78.0,manual_review,audio_proxy_alto|audio_proxy_suficiente|audio_score_sobre_threshold|black_frame_rate_alto|formato_interview|formato_largo|fuente_argentina_probable|speaker_count_usable|asr_espanol_y_habla_confirmados,data_pipeline/discovery/outputs/contact_sheets/RXivg31DQ28.jpg,low
39,https://www.youtube.com/watch?v=ASqvYtA3grM,Conferencia de Cierre — Rita Segato — VI Congreso Latinoamericano y Caribeño de Ciencias Sociales,FLACSO Argentina,maybe_review,83.18,78.82,80.58,98.0,7.98,96.0,manual_review,audio_proxy_suficiente|audio_score_sobre_threshold|formato_educational|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|visual_proxy_intermedio|visual_proxy_suficiente|asr_espanol_y_habla_confirmados,data_pipeline/discovery/outputs/contact_sheets/ASqvYtA3grM.jpg,low
40,https://www.youtube.com/watch?v=ytsu50Ugeow,Entrevista con ALBEREE Y GUARI,Martin Cirio,maybe_review,83.11,68.92,96.83,98.0,0.51,6.0,manual_review,audio_proxy_alto|audio_score_sobre_threshold|formato_interview|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|visual_proxy_intermedio|asr_espanol_y_habla_confirmados,data_pipeline/discovery/outputs/contact_sheets/ytsu50Ugeow.jpg,low
41,https://www.youtube.com/watch?v=qpG_BeBTvyk,"PREGUNTAS y RESPUESTAS con Nicolás Tagliafico, Leandro Paredes y Lautaro Martínez FT. DAVO y LACOBRA",Coscu,maybe_review,82.93,69.63,95.04,98.0,1.9,23.0,manual_review,audio_proxy_alto|audio_score_sobre_threshold|face_detect_rate_bajo|formato_largo|formato_streamer|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|asr_espanol_y_habla_confirmados,data_pipeline/discovery/outputs/contact_sheets/qpG_BeBTvyk.jpg,low
42,https://www.youtube.com/watch?v=Nn0kxFXDfX4,PACHU PEÑA Y JOSEMA SIN FILTRO EN BLENDER AT NIGHT | #BAT COMPLETO 10/03 | BLENDER,BLENDER,maybe_review,82.89,74.59,93.33,88.0,8.24,99.0,manual_review,audio_proxy_alto|audio_score_sobre_threshold|formato_interview|formato_largo|fuente_argentina_probable|muchos_hablantes_posible|scene_cut_proxy_alto|speaker_count_usable|visual_proxy_intermedio|asr_espanol_y_habla_confirmados,data_pipeline/discovery/outputs/contact_sheets/Nn0kxFXDfX4.jpg,low
43,https://www.youtube.com/watch?v=2n5Bll7L9p0,Jorge Lanata en el ciclo #1LiderXme​s,Universidad de San Andrés,maybe_review,82.2,78.81,89.32,80.0,11.62,139.0,manual_review,audio_proxy_alto|audio_score_sobre_threshold|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|visual_proxy_alto|visual_proxy_intermedio|asr_espanol_y_habla_confirmados,data_pipeline/discovery/outputs/contact_sheets/2n5Bll7L9p0.jpg,low
44,https://www.youtube.com/watch?v=SuZ-KptBWAI,Coscu: “Somos pibes que la hicimos solos. No vino ni un empresario ni el más  picante” | Caja Negra,Filo News,maybe_review,81.84,68.17,93.86,98.0,3.03,36.0,manual_review,audio_proxy_alto|audio_score_sobre_threshold|face_detect_rate_bajo|formato_interview|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|asr_espanol_y_habla_confirmados,data_pipeline/discovery/outputs/contact_sheets/SuZ-KptBWAI.jpg,low
45,https://www.youtube.com/watch?v=SWO7XZ02rpI,"Rodrigo De la Serna: ""Okupas es un programa que resiste al paso del tiempo"" | Caja Negra",Filo News,maybe_review,81.26,73.85,82.44,98.0,4.21,50.0,manual_review,audio_proxy_alto|audio_proxy_suficiente|audio_score_sobre_threshold|black_frame_rate_alto|formato_interview|formato_largo|fuente_argentina_probable|speaker_count_usable|asr_espanol_y_habla_confirmados,data_pipeline/discovery/outputs/contact_sheets/SWO7XZ02rpI.jpg,low
46,https://www.youtube.com/watch?v=tnSHZ1ylnXY,"Mario Pergolini con Pedro Aznar y David Lebón: Entrevista Completa - ""Uno"" | Vorterix",Vorterix,maybe_review,80.31,70.48,84.92,98.0,4.72,57.0,manual_review,audio_proxy_alto|audio_proxy_suficiente|audio_score_sobre_threshold|black_frame_rate_alto|formato_interview|formato_largo|fuente_argentina_probable|speaker_count_usable|asr_espanol_y_habla_confirmados,data_pipeline/discovery/outputs/contact_sheets/tnSHZ1ylnXY.jpg,low
47,https://www.youtube.com/watch?v=38-d7JikoLc,"Rolón: ""Enamorarse impacta en un lugar de tu inconsciente relacionado con tu pasado"" | Caja Negra",Filo News,maybe_review,79.96,74.87,76.43,98.0,7.35,88.0,manual_review,audio_proxy_intermedio|audio_proxy_suficiente|audio_score_sobre_threshold|black_frame_rate_alto|formato_interview|formato_largo|fuente_argentina_probable|perfil_extremo_proxy|speaker_count_usable|asr_espanol_y_habla_confirmados,data_pipeline/discovery/outputs/contact_sheets/38-d7JikoLc.jpg,medium:audio_asr_confirmado
48,https://www.youtube.com/watch?v=rDUY39o7gdg,El humor del inconsciente de Lucho Mellera | Luciano Mellera | TEDxRiodelaPlata,TEDx Talks,maybe_review,79.69,68.05,86.87,98.0,1.76,21.0,manual_review,audio_proxy_alto|audio_proxy_suficiente|audio_score_sobre_threshold|black_frame_rate_alto|face_detect_rate_bajo|formato_educational|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|asr_espanol_y_habla_confirmados,data_pipeline/discovery/outputs/contact_sheets/rDUY39o7gdg.jpg,low
49,https://www.youtube.com/watch?v=YmZKSCP6rDA,"Ricardo Darín: ""Hacer 'Argentina, 1985' fue muy emocionante y nutritivo"" | Caja Negra",Filo News,maybe_review,79.13,70.61,80.75,98.0,5.5,66.0,manual_review,audio_proxy_alto|audio_proxy_intermedio|audio_proxy_suficiente|audio_score_sobre_threshold|black_frame_rate_alto|formato_interview|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|asr_espanol_y_habla_confirmados,data_pipeline/discovery/outputs/contact_sheets/YmZKSCP6rDA.jpg,low
50,https://www.youtube.com/watch?v=ZUWbS2Nb3GU,El plan estratégico de Argentina | Completo,Pablo H. Plá,maybe_review,79.05,73.0,76.5,98.0,7.61,91.0,manual_review,audio_proxy_alto|audio_proxy_intermedio|audio_proxy_suficiente|audio_score_sobre_threshold|face_detect_rate_bajo|formato_interview|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|asr_espanol_y_habla_confirmados,data_pipeline/discovery/outputs/contact_sheets/ZUWbS2Nb3GU.jpg,medium:audio_asr_confirmado
51,https://www.youtube.com/watch?v=-wa7igZnkJk,Río de las ideas | Luciano Mellera | TEDxRiodelaPlata,TEDx Talks,maybe_review,78.45,66.0,86.19,98.0,2.44,29.0,manual_review,audio_proxy_alto|audio_proxy_suficiente|audio_score_sobre_threshold|face_detect_rate_bajo|formato_educational|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|visual_proxy_alto|asr_espanol_y_habla_confirmados,data_pipeline/discovery/outputs/contact_sheets/-wa7igZnkJk.jpg,medium:samples_incompletos|language_metadata_missing
